STATION_NAME,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20050601,152,0,528,0,350,117,260,173,217
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20050701,439,0,1324,0,333,161,283,205,244
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20050801,104,0,148,0,356,178,300,215,257
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20050901,429,0,548,0,322,100,270,175,223
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20051001,1184,0,3803,0,244,33,177,108,142
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20051101,241,0,1030,0,200,-56,134,48,91
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20051201,234,76,947,127,128,-94,48,-17,15
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20060101,257,51,1107,53,167,-100,81,-2,40
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20060201,264,432,564,427,161,-94,54,-26,14
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20060301,157,25,310,13,217,-56,96,12,54
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20060401,541,0,1190,25,267,0,167,66,116
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20060501,274,0,1090,0,289,72,207,117,162
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20060601,343,0,1629,0,306,117,244,171,208
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20060701,358,0,1286,0,350,167,289,209,249
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20060801,193,0,676,0,372,156,286,203,245
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20060901,236,0,656,0,278,94,233,156,194
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20061001,272,0,1238,0,244,11,175,93,134
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20061101,465,0,1154,0,211,6,137,72,104
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20061201,170,0,485,0,178,-72,97,24,60
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20070101,315,25,786,44,217,-128,66,-7,29
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20070201,150,51,348,84,100,-128,18,-56,-19
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20070301,401,76,925,89,256,-106,92,1,46
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20070401,660,0,1773,0,272,-6,138,55,97
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20070501,152,0,559,0,311,50,218,119,169
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20070601,450,0,1360,0,322,122,258,170,214
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20070701,422,0,1345,0,322,144,277,196,237
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20070801,881,0,1494,0,339,128,274,193,233
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20070901,206,0,282,0,294,100,249,161,205
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20071001,472,0,1338,0,322,39,211,133,172
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20071101,236,0,594,0,194,-39,109,36,72
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20071201,188,25,1115,61,128,-67,60,-1,29
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20080101,150,0,593,11,183,-100,55,-18,18
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20080201,384,127,1194,226,194,-117,62,-23,19
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20080301,401,0,916,0,172,-28,93,12,53
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20080401,267,0,699,0,261,-17,156,69,113
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20080501,241,0,825,0,250,33,196,105,151
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20080601,422,0,904,0,350,144,276,183,230
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20080701,295,0,838,0,333,172,293,210,252
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20080801,259,0,816,0,322,150,277,185,231
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20080901,638,0,1715,0,311,111,246,169,208
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20081001,485,0,895,0,261,17,180,89,135
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20081101,178,0,848,0,194,-44,111,45,78
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20081201,523,76,1518,124,178,-100,74,-4,35
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20090101,386,51,726,162,72,-139,15,-51,-18
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20090201,97,25,250,102,167,-111,68,-23,22
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20090301,140,178,488,179,200,-106,91,7,49
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20090401,310,0,1077,0,300,17,159,71,115
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20090501,262,0,1117,0,267,67,198,119,159
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20090601,572,0,1968,0,283,100,232,161,197
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20090701,193,0,908,0,322,144,273,190,232
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20090801,373,0,889,0,333,156,285,210,247
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20090901,358,0,804,0,300,100,234,153,194
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20091001,457,0,1492,0,228,39,169,94,132
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20091101,170,0,358,0,194,6,140,72,106
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20091201,384,356,1587,412,189,-89,59,-12,23
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20100101,216,0,425,36,117,-100,37,-35,1
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20100201,404,254,1529,754,83,-89,33,-21,6
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20100301,582,102,2192,0,211,-17,126,42,84
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20100401,394,0,859,0,306,44,179,81,130
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20100501,229,0,504,0,328,56,228,126,177
NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US,20100601,251,0,345,0,367,117,286,187,236
WHITE PLAINS 3.1 NNW NY US,20080101,0,0,0,0,-9999,-9999,-9999,-9999,-9999
